data,dia,mes,ano,campanha,gride,balde,sp,dedos,dedos novos,ident,perdas,recaptura,saco,peso,pesototal,CRC,CC,BC,Quebrada,sexo,ovos,Local,OBS,cont indivíduo,cont capturas,,Problemas
21-set-21,21,9,2021,255,8,B,Tropidurus_torquatus,NA,60_1,61B,NA,Recaptura,1.00,9.00,8.00,67.00,94.00,NA,N,F,N,IBGE,,,,,
24-set-21,24,9,2021,255,4,M,Tropidurus_torquatus,NA,60_5,65B,NA,Captura,1.00,7.75,6.75,61.00,89.00,NA,N,F,N,IBGE,,,,,
24-set-21,24,9,2021,255,5,M,Tropidurus_torquatus,NA,60_6,66B,NA,Captura,1.00,6.75,5.75,52.00,86.00,NA,N,I,N,IBGE,,,,,
24-set-21,24,9,2021,255,16,M,Tropidurus_torquatus,NA,100_60_6,166B,NA,Captura,1.00,8.50,7.50,63.00,92.00,NA,N,F,N,IBGE,,,,,
28-set-21,28,9,2021,255,1,M,Tropidurus_torquatus,NA,50_4,54B,NA,Recaptura,1.00,25.00,24.00,63.00,98.00,NA,N,M,N,IBGE,,,,,
1-out-21,1,10,2021,256,3,C,Tropidurus_torquatus,NA,60_9,69B,NA,Captura,1.00,2.75,1.75,39.00,54.00,NA,N,I,N,IBGE,,,,,
1-out-21,1,10,2021,256,16,M,Tropidurus_torquatus,NA,70,70B,NA,Captura,NA,NA,NA,NA,NA,NA,N,M,N,IBGE,Fugiu_no_manuseio,,,,
8-out-21,8,10,2021,256,3,B,Tropidurus_torquatus,NA,60_9,69B,NA,Recaptura,0.50,12.50,12.00,40.00,55.00,NA,N,I,N,IBGE,,,,,
8-out-21,8,10,2021,256,4,M,Tropidurus_torquatus,NA,30_1,31B,NA,Recaptura,1.50,36.00,34.50,101.00,153.00,NA,N,M,N,IBGE,,,,,
15-out-21,15,10,2021,256,9,M,Tropidurus_torquatus,NA,20_3,23B,NA,Recaptura,1.50,29.50,28.00,87.00,104.00,NA,N,F,N,IBGE,,,,,
15-out-21,15,10,2021,256,15,C,Tropidurus_torquatus,NA,100_20,120B,NA,Recaptura,1.50,37.00,35.50,113.00,145.00,NA,N,M,N,IBGE,,,,,
19-out-21,19,10,2021,256,14,M,Tropidurus_torquatus,NA,70_6,76B,NA,Recaptura,1.50,21.50,20.00,85.00,128.00,NA,N,M,N,IBGE,Dedo_6_predado,,,,
22-out-21,22,10,2021,256,18,M,Tropidurus_torquatus,NA,20_9,29B,NA,Recaptura,3.00,38.00,35.00,99.00,144.00,NA,N,M,N,IBGE,,,,,
22-out-21,22,10,2021,256,18,M,Tropidurus_torquatus,NA,40_1,41B,NA,Recaptura,3.00,35.00,32.00,96.00,138.00,NA,N,M,N,IBGE,Ponta_do_dedo_50_predado,,,,
22-out-21,22,10,2021,256,19,B,Tropidurus_torquatus,NA,70_3,73B,NA,Captura,1.00,6.50,5.50,58.00,80.00,NA,N,I,N,IBGE,,,,,
22-out-21,22,10,2021,256,20,B,Tropidurus_torquatus,NA,70_4,74B,NA,Captura,1.00,16.00,15.00,79.00,112.00,NA,N,M,N,IBGE,,,,,
